ID,medv
3,28.784750708626717
6,22.86547538097414
8,20.842729639869027
9,16.601235663365664
10,19.52559287821918
18,19.415831481415033
20,17.353885241451287
25,18.898384896481154
26,16.35035247067045
27,18.02813382181965
29,23.375081866136284
30,24.778459725275106
33,19.10222749054602
34,17.150042647386428
36,18.968945794426688
37,18.247656615427964
38,18.31821751337349
42,25.53110930336073
49,14.782332516325397
53,23.50052346248389
60,18.92190519579634
63,23.069317975039006
70,18.592621005383876
72,19.188468588035
79,21.313135626172546
80,18.506379907894896
83,21.861942610193317
92,22.669472886681014
93,22.959556578234846
96,24.394294836460567
98,35.715398906831844
99,33.76321406367226
100,30.595813755895257
105,20.803529141010408
106,18.326057613145217
111,21.023051934618707
113,18.812143798992174
114,20.21552165813101
116,18.92974529556806
126,19.384471082328133
130,16.648276261996017
131,23.084998174582445
133,22.41074959421408
136,22.120665902660242
141,20.858409839412474
144,15.323299400574442
145,10.893643029549672
147,16.577715364050476
152,14.821533015184023
153,11.748213904667715
156,20.68592764443452
158,26.887446563869197
163,33.622092267781206
169,21.995224306312636
185,16.389552969529078
186,20.69376774420624
189,23.85332795221153
196,34.19441955111715
197,29.5844408853427
199,29.482519588310268
200,27.13832975656441
203,32.11679311160996
208,17.79293082866789
210,14.351127028880505
211,19.180628488263267
213,17.981093223189305
216,20.92113063758628
218,24.5275765325799
219,19.110067590317747
220,22.4185896939858
221,26.95016736204301
229,32.712640694261076
232,30.564453356808357
238,30.141087969135185
239,23.26532046933213
240,24.245332940797788
242,20.239041957446176
246,16.397393069300804
248,21.266095027542192
253,26.997207960673364
255,20.34096325447861
256,18.52206010743835
257,30.89373754722081
258,40.69386226187739
259,29.945085474842053
260,26.095596486924954
268,37.50294165478521
270,18.86702449739426
271,18.365258112003843
276,26.189677684185654
277,29.427638889908188
278,25.970154890577355
279,23.273160569103858
281,33.76321406367226
288,21.13281333142286
290,23.923888850157056
292,28.494667017072878
295,19.564793377077805
296,24.809820124362005
299,22.199066900377495
300,27.65577634149828
301,26.322959380304987
308,26.150477185327027
314,21.579699018411198
315,23.93956904970051
320,20.38016375333723
322,22.44210999330098
323,19.815676569773018
324,17.2049233457885
327,21.940343607910563
330,22.10498570311679
332,17.189243146245055
333,19.737275572055772
336,19.784316170686125
338,18.671022003101122
346,19.603993875936432
347,18.694542302416302
351,23.335881367277658
352,24.03365024696121
354,25.20182511294827
355,16.852118856060862
356,18.99246609374186
362,21.462097521835325
364,17.949732824102405
365,41.28970984452851
370,24.849020623220632
376,29.788283479407546
379,22.47347039238788
380,21.242574728227012
381,27.083449058162337
382,23.76708685472255
386,13.825840344174914
389,10.713320734799986
391,17.244123844647127
394,21.007371735075253
396,23.18691947161488
398,17.510687236885794
400,18.333897712916944
403,22.661632786909287
405,15.81722568619314
406,17.00892085149537
407,4.895966704179841
410,26.173997484642207
411,17.589088234603047
412,24.64517802915578
413,8.73761559232522
417,25.625190500621436
421,22.716513485311367
422,19.541273077762632
423,16.734517359484983
424,20.301762755619983
427,18.21629621634107
431,22.22258719969267
436,24.425655235547467
437,23.108518473897632
439,18.984625993970134
447,22.167706501290596
450,22.76355408394172
451,25.366467208154496
455,25.20182511294827
457,19.306070084610873
471,20.803529141010408
474,27.177530255423044
476,20.76432864215178
483,27.81257833693278
486,21.940343607910563
490,14.899934012901277
495,18.914065096024615
496,16.906999554462942
497,14.71177161837987
499,19.64319437479506
501,19.705915172968865
505,25.719271697882135
